cause_of_death,carto_db_cause_of_death,year,dead_and_missing,description
starved,drowning or exhaustion related death,2008,6,"found by Algerian authorities in an advanced state of decomposition in Ardrar (S.E. Sahara) (Dec 10, 2008)"
crushed,"violent accidental death (transport, blown in minefield...)",2008,1,"A 13 year old Afghan boy dies crushed under the truck which had hung to enter Italy. The truck had just landed at the port of Venice from a ship departed from Greece (Dec 10, 2008)"
suicide - other,suicide,2008,1,"suicide in the Vottem det. cr. (B) after hearing his asylum claim had been rejected (Dec 9, 2008)"
starved,drowning or exhaustion related death,2008,25,"died of thirst, found in advanced state of decomposition by Algerian apolice in Sahara (DZ) (Dec 8, 2008)"
shot,malicious intent related death / manslaughter,2008,1,"shot dead in detention centre in Kirklareli (TR) during a riot against detention conditions (Dec 5, 2008)"
starved,drowning or exhaustion related death,2008,3,"starvation, boat with 3 dead bodies arrived in Canary Island (E), carrying 88 migrants  (Nov 30, 2008)"
frozen,drowning or exhaustion related death,2008,2,"bodies found in a refrigerator truck with other 30 hidden people in a southern GR coastline (Nov 24, 2008)"
heart failure,drowning or exhaustion related death,2008,1,"died of heart attack in hospital after boat was intercepted near to Canary coast (E)  (Nov 18, 2008). From Del Grande's data set (translated): He died at the hospital Candelaria in Tenerife a landed immigrant November 18 in critical condition, after 12 days of travel from Guinea Conakry on a boat with 136 passengers (Nov 20, 2008)"
hypothermia and dehydration,drowning or exhaustion related death,2008,5,"died of dehydration and hypothermia, bodies found on a boat that landed in La Gomera (E) (Nov 6, 2008)"
hypothermia,drowning or exhaustion related death,2008,3,"2 found in boat at La Gomera s coast (E), 1 died of hypothermia later in hospital  (Oct 28, 2008)"
police violence,authorities related death,2008,1,"injured in police violence, in asylum seekers queue outside Aliens  directorate in Athens (GR) (Oct 25, 2008)"
shot by the police,authorities related death,2008,1,"Egyptian police killed a Sudanese refugee shots of gunfire along the Israeli border in Sinai (Oct 22, 2008)"
shot,malicious intent related death / manslaughter,2008,1,"killed, shot by Libyan civilian as his migrant boat left Libya for Europe  (Oct 19, 2008)"
suicide - put on fire,suicide,2008,1,"suicide, set herself on fire to protest against the deportation of her Armenian partner  (Oct 18, 2008)"
shot by the police,authorities related death,2008,1,"Egyptian police fired on a group of migrants along the border with Israel. A dead. Already 24 victims from the start of 2008 (Oct 14, 2008)"
car accident,"violent accidental death (transport, blown in minefield...)",2008,1,"was run over by the wheels of the lorry while clinching to it in Mestre, Venice (I)  (Oct 11, 2008)"
suicide - other,suicide,2008,1,"suicide, shot himself in his home in Sulaimania, Kurdistan days after being deported from GB (Oct 7, 2008)"
starved,drowning or exhaustion related death,2008,15,"reportedly died of starvation, bodies found in Almeria (E)  (Oct 6, 2008)"
car accident,"violent accidental death (transport, blown in minefield...)",2008,2,"died in accident, when bus carrying stowaways overturned in Dogubayazit (TR), 18 survivors (Oct 5, 2008)"
car accident,"violent accidental death (transport, blown in minefield...)",2008,18,"Truck load of migrants capsizes in a car accident in Malkara, near the greek border: 18 dead and 23 wounded (Oct 6, 2008)"
run over by a car,"violent accidental death (transport, blown in minefield...)",2008,1,"It falls under the truck which was traveling from Morocco hidden hit by a car and dies, at km 64 of the A-381 Jerez-Los Barrios (Oct 6, 2008)"
starved,drowning or exhaustion related death,2008,47,"died of starvation and cold after the engine of their boat broke down (TN) (Oct 4, 2008)"
shot by the police,authorities related death,2008,2,"Egyptian police kill two migrants at Israeli border gunfire from fire. The victims are a 22 year old guy and a girl of 18. Another migrant was killed in early January (Jan 30, 2008)"
car accident,"violent accidental death (transport, blown in minefield...)",2008,1,"Afghan 14 year old dies flayed from the asphalt, while traveling hidden under a truck bound party from Greece and landed in Ancona. The body was found in Bertinoro, in the province of Forl-Cesena (Jan 22, 2008)"
car accident,"violent accidental death (transport, blown in minefield...)",2008,1,"stowaway, crushed to death in Panighina (I), hanging on underside of lorry from Greece (Jan 21, 2008)"
suicide - hanged,suicide,2008,1,"suicide, hanged himself in detention centre in Bautzen (D) as he feared deportation (Jan 9, 2008)"
lack of medical care,drowning or exhaustion related death,2008,1,"died from tuberculosis after medical neglect from staff of Colnbrook removal centre (GB) (Jan 8, 2008)"
car accident,"violent accidental death (transport, blown in minefield...)",2008,1,"crashed by truck in Trent Vale (GB) hiding under truck s wheel   (Jan 8, 2008)"
shot,malicious intent related death / manslaughter,2008,2,"shot by militia in Calgoo, Sudan, where he returned when asylum claim was refused in GB  (Jan 7, 2008)"
starved,drowning or exhaustion related death,2008,2,"died of starvation, they were thrown overboard by their father in the Mediterranean sea (I) (Jan 7, 2008)"
asphyxiated,drowning or exhaustion related death,2008,13,"stowaways, died from asphyxiation in a track from Istanbul (TR) to GR after traffic accident (Jan 6, 2008)"
car accident,"violent accidental death (transport, blown in minefield...)",2008,1,"hit by a car in Nicosia s motorway (CY) when he was running to escape an inmigration swoop (Jan 4, 2008)"
suicide - hanged,suicide,2008,1,"suicide, hanged himself in sanitary room of det. cr.  Merksplas (B) in fear of deportation (Jan 4, 2008)"
suicide - other,suicide,2008,1,"suicide, starved herself to death in asylum seekers  house (GB) after being denied asylum  (Jan 4, 2008)"
died presumably  from ill treatments,malicious intent related death / manslaughter,2008,7,"died after deportation in Oujda s (MA) camp due to inhuman conditions  (Jan 3, 2008)"
suicide - put on fire,suicide,2008,1,"suicide, set himself on fire  in detention center of Luxembourg (Jan 3, 2008)"
lack of medical care,drowning or exhaustion related death,2008,1,"no medical care, died lacking adequate health treatment in det. boat Rotterdam (NL) (Jan 2, 2008)"
asphyxiated,drowning or exhaustion related death,2007,1,"died of exhaustion,  after being rescued trying to swim from Morocco to Ceuta (E) (Sep 25, 2007)"
murdered,malicious intent related death / manslaughter,2007,1,"manslaughter, Spanish Guard brought him back to MA cutting his inflatable mattress (Sep 25, 2007)"
car accident,"violent accidental death (transport, blown in minefield...)",2007,1,"Driver dies in a car crash in Thessaloniki to escape the police: 9 carrying undocumented migrants to Athens (Sep 21, 2007)"
suicide - put on fire,suicide,2007,1,"suicide, put on fire on Castellon (E) after denial of help for voluntary repatriatiation (Sep 18, 2007)"
starved,drowning or exhaustion related death,2007,3,"died of exhaustion and exposure at Polish border fleeing from Chechnia conflict (Sep 12, 2007). From Del Grande's data set (translated): Three little girls of 6, 10 and 13, froze to die trying to cross on foot, with his mother, the mountains on the border between Ukraine and Poland (Sep 14, 2007)"
lack of medical care,drowning or exhaustion related death,2007,1,"died due to lack insuline 4 weeks after deportation to Mostar (BH) being ill during trip  (Sep 8, 2007)"
asphyxiated,drowning or exhaustion related death,2007,1,"suffocated by gag policemen put in his mouth during deportation from Spain to Nigeria (Sep 5, 2007)"
suicide - other,suicide,2007,1,"suicide, overdose of pills, suffered of depression in asylum seekers  hostel in Rostock (D) (Aug 28, 2007)"
starved,drowning or exhaustion related death,2007,2,"pregnant women died of starvation during the journey from Libya to Italy (Aug 27, 2007). From Del Grande's data set (translated): Rescued off Lampedusa boat adrift for 4 days. In crossing two pregnant women died, their bodies abandoned at sea (Aug 29, 2007)"
fall,"violent accidental death (transport, blown in minefield...)",2007,1,"fell passing one balcony to an other attempting to avoid police control Geneva (CH) (Aug 24, 2007)"
starved,drowning or exhaustion related death,2007,11,"starvation and hypothermia, thrown overboard, boat went adrift for 7 days on the way to E (Aug 20, 2007). From Del Grande's data set (translated): 13 people, including 2 minors, died in the crossing to the Canary Islands, after six days adrift, 80 miles south of Gran Canaria. They had departed from the Western Sahara. 11 bodies thrown overboard by his companions travel (Aug 19, 2007)"
frozen,drowning or exhaustion related death,2007,1,"hypothermia, died in the hospital in Gran Canaria (E) after boat went adrift for 7 days (Aug 20, 2007)"
starved,drowning or exhaustion related death,2007,13,"died of dehydration and hypothermia during trip from Sahara Occ to Canary Isl (E) (Aug 20, 2007)"
starved,drowning or exhaustion related death,2007,6,"starvation, bodies thrown overboard found by military pilots 60 miles to Lampedusa (I) (Aug 20, 2007). From Del Grande's data set (translated): The ship Sibyl Navy recovers 5 of the 6 bodies sighted in the sea from the Atlantic patrol vessel, 60 miles south of the island of Lampedusa (Aug 22, 2007)"
starved,drowning or exhaustion related death,2007,1,"starvation and hypothermia, body found on boat that went adrift for 7 days on the way to E (Aug 20, 2007)"
shot by the police,authorities related death,2007,1,"Festus Okey, a Nigerian migrant, was shot while in a police station."
fall,"violent accidental death (transport, blown in minefield...)",2007,1,"illegal worker jumped from building trying to avoid police arrest, Thessaloniki (GR) (Aug 19, 2007)"
hypothermia and dehydration,drowning or exhaustion related death,2007,1,"died of hypothermia and dehydration, found on boat that landed in Gran Canaria (E) (Aug 18, 2007)"
starved,drowning or exhaustion related death,2007,13,"died of starvation, dehydratation and hypotermia on a boat going to Fuerteventura (E) (Aug 18, 2007)"
car accident,"violent accidental death (transport, blown in minefield...)",2007,2,"stowaways, died after truck carrying 34 migrants capsized near Yukari Bakracli (TR)  (Aug 13, 2007). From Del Grande's data set (translated): Car accident Yukari Bakracli in the eastern province of Van. Truck spills load of migrants, 2 dead and 32 injured (Aug 14, 2007)"
